"player_id","name","height_in","weight","position"
"1631105","Jalen Duren","82","250","Center"
"1631106","Tari Eason","80","215","Forward"
"1641744","Zach Edey","88","305","Center"
"1630162","Anthony Edwards","76","225","Guard"
"1642399","Jesse Edwards","84","236","Center"
"1642348","Justin Edwards","79","203","Forward"
"1630556","Kessler Edwards","79","203","Forward"
"1631165","Keon Ellis","76","175","Guard"
"203954","Joel Embiid","84","280","Center-Forward"
"1630623","Tyson Etienne","74","200","Guard"
"1629234","Drew Eubanks","82","245","Forward-Center"
"1641787","Tosan Evbuomwan","79","217","Forward"
"203957","Danté Exum","77","214","Guard"
"1628981","Bruno Fernando","81","240","Forward-Center"
"1642271","Kyle Filipowski","83","250","Center"
"1627827","Dorian Finney-Smith","79","220","Forward"
"1641745","Adam Flagler","75","180","Guard"
"1642280","Trentyn Flowers","81","185","Forward"
"1630201","Malachi Flynn","73","185","Guard"
"1631323","Simone Fontecchio","79","209","Forward"
"1628368","De'Aaron Fox","75","185","Guard"
"1642402","Enrique Freeman","79","220","Forward"
"1628365","Markelle Fultz","76","209","Guard"
"1642277","Johnny Furphy","81","200","Guard"
"1629655","Daniel Gafford","82","265","Forward-Center"
"1629636","Darius Garland","73","192","Guard"
"1630568","Luka Garza","82","243","Center"
"1641718","Keyonte George","76","185","Guard"
"1642273","Kyshawn George","80","200","Forward"
"202331","Paul George","80","220","Forward"
"201959","Taj Gibson","81","232","Forward"
"1630581","Josh Giddey","80","216","Guard"
"1628983","Shai Gilgeous-Alexander","78","195","Guard"
"1630264","Anthony Gill","80","230","Forward"
"1631221","Collin Gillespie","73","195","Guard"
"203497","Rudy Gobert","85","258","Center"
"1630692","Jordan Goodwin","77","215","Guard"
"203932","Aaron Gordon","80","235","Forward"
"201569","Eric Gordon","75","215","Guard"
"1641789","Jazian Gortman","74","184","Guard"
"203924","Jerami Grant","79","210","Forward"
"1631260","AJ Green","76","190","Guard"
"203110","Draymond Green","78","230","Forward"
"1630224","Jalen Green","76","186","Guard"
"1629750","Javonte Green","77","205","Guard"
